train_loss_step,lr,epoch,step,val_loss,val_dice,train_loss_epoch
0.3438488245010376,0.0006115111755207181,7,4649,,,
0.3724081516265869,0.00102817767765373,7,4699,,,
0.37729883193969727,0.001491078408434987,7,4749,,,
0.36092275381088257,0.001954901497811079,7,4799,,,
0.3335850238800049,0.002374244388192892,7,4849,,,
0.3428281545639038,0.0027080592699348927,7,4899,,,
0.3843201994895935,0.002923669759184122,7,4949,,,
0.3711887001991272,0.002999970456585288,7,4999,,,
0.5260058045387268,0.0029294926207512617,7,5049,,,
0.43558818101882935,0.0027191347908228636,7,5099,,,
,,7,5135,0.46084463596343994,0.5514609813690186,
,,7,5135,,,0.37943363189697266
0.3304364085197449,0.0023894887417554855,8,5149,,,
0.3461909890174866,0.0019728222396224737,8,5199,,,
0.3053569793701172,0.0015099216252565384,8,5249,,,
